====================================================================================================
MySQL 表分割索引
====================================================================================================

源文件: C:\Users\wcss\Desktop\mysqlToPg\bigdata-web-data.sql
总表数: 214
总批次: 11
每批次表数: 20

====================================================================================================

表ID      表名                                                 批次           源文件行号           批次文件
T101     t_linkage_strategy                                 BATCH_06     13052-13081     batch_06_tables_101-120_mysql.sql
T102     t_linkage_strategy_validtime                       BATCH_06     13081-13098     batch_06_tables_101-120_mysql.sql
T103     t_login_setting                                    BATCH_06     13098-13131     batch_06_tables_101-120_mysql.sql
T104     t_major_safeguard                                  BATCH_06     13131-13160     batch_06_tables_101-120_mysql.sql
T105     t_merge_alarm_read_status                          BATCH_06     13160-13177     batch_06_tables_101-120_mysql.sql
T106     t_merge_alarm_user_preference                      BATCH_06     13177-13207     batch_06_tables_101-120_mysql.sql
T107     t_merge_rule_desc                                  BATCH_06     13207-13235     batch_06_tables_101-120_mysql.sql
T108     t_model_layout                                     BATCH_06     13235-13275     batch_06_tables_101-120_mysql.sql
T109     t_model_layout_action_time                         BATCH_06     13275-13295     batch_06_tables_101-120_mysql.sql
T110     t_model_layout_form                                BATCH_06     13295-13312     batch_06_tables_101-120_mysql.sql
T111     t_model_layout_real_time                           BATCH_06     13312-13333     batch_06_tables_101-120_mysql.sql
T112     t_model_layout_task                                BATCH_06     13333-13362     batch_06_tables_101-120_mysql.sql
T113     t_model_layout_task_record                         BATCH_06     13362-13386     batch_06_tables_101-120_mysql.sql
T114     t_model_menu                                       BATCH_06     13386-13421     batch_06_tables_101-120_mysql.sql
T115     t_model_metric                                     BATCH_06     13421-13458     batch_06_tables_101-120_mysql.sql
T116     t_mss_agent_config                                 BATCH_06     13458-13483     batch_06_tables_101-120_mysql.sql
T117     t_mss_notice                                       BATCH_06     13483-13500     batch_06_tables_101-120_mysql.sql
T118     t_node_info                                        BATCH_06     13500-13550     batch_06_tables_101-120_mysql.sql
T119     t_nsfocusWeb_device                                BATCH_06     13550-13568     batch_06_tables_101-120_mysql.sql
T120     t_nsfocus_device                                   BATCH_06     13568-13586     batch_06_tables_101-120_mysql.sql
T121     t_nsfocus_task                                     BATCH_07     13586-13607     batch_07_tables_121-140_mysql.sql
T122     t_online_judge                                     BATCH_07     13607-13645     batch_07_tables_121-140_mysql.sql
T123     t_oplog                                            BATCH_07     13645-13666     batch_07_tables_121-140_mysql.sql
T124     t_organization                                     BATCH_07     13666-13693     batch_07_tables_121-140_mysql.sql
T125     t_permission                                       BATCH_07     13693-13730     batch_07_tables_121-140_mysql.sql
T126     t_portal_screen                                    BATCH_07     13730-13767     batch_07_tables_121-140_mysql.sql
T127     t_predict_alert_report                             BATCH_07     13767-13799     batch_07_tables_121-140_mysql.sql
T128     t_predict_alert_report_operation_history           BATCH_07     13799-13818     batch_07_tables_121-140_mysql.sql
T129     t_predict_alert_report_tags_relation               BATCH_07     13818-13837     batch_07_tables_121-140_mysql.sql
T130     t_quartz_job                                       BATCH_07     13837-13923     batch_07_tables_121-140_mysql.sql
T131     t_query_scene                                      BATCH_07     13923-13947     batch_07_tables_121-140_mysql.sql
T132     t_query_template                                   BATCH_07     13947-14029     batch_07_tables_121-140_mysql.sql
T133     t_query_template_group                             BATCH_07     14029-14062     batch_07_tables_121-140_mysql.sql
T134     t_region                                           BATCH_07     14062-14078     batch_07_tables_121-140_mysql.sql
T135     t_rel_report_form                                  BATCH_07     14078-14104     batch_07_tables_121-140_mysql.sql
T136     t_rel_report_tag                                   BATCH_07     14104-14121     batch_07_tables_121-140_mysql.sql
T137     t_report_center_report                             BATCH_07     14121-14161     batch_07_tables_121-140_mysql.sql
T138     t_report_form                                      BATCH_07     14161-14208     batch_07_tables_121-140_mysql.sql
T139     t_report_history                                   BATCH_07     14208-14226     batch_07_tables_121-140_mysql.sql
T140     t_report_job                                       BATCH_07     14226-14268     batch_07_tables_121-140_mysql.sql
T141     t_report_tags                                      BATCH_08     14268-14283     batch_08_tables_141-160_mysql.sql
T142     t_risk_template                                    BATCH_08     14283-14321     batch_08_tables_141-160_mysql.sql
T143     t_role                                             BATCH_08     14321-14353     batch_08_tables_141-160_mysql.sql
T144     t_role_permission                                  BATCH_08     14353-14377     batch_08_tables_141-160_mysql.sql
T145     t_role_role_type                                   BATCH_08     14377-14404     batch_08_tables_141-160_mysql.sql
T146     t_role_type                                        BATCH_08     14404-14436     batch_08_tables_141-160_mysql.sql
T147     t_role_type_permission                             BATCH_08     14436-14457     batch_08_tables_141-160_mysql.sql
T148     t_scan_strategy                                    BATCH_08     14457-14484     batch_08_tables_141-160_mysql.sql
T149     t_scene                                            BATCH_08     14484-14520     batch_08_tables_141-160_mysql.sql
T150     t_scene_component                                  BATCH_08     14520-14554     batch_08_tables_141-160_mysql.sql
T151     t_scene_component_rel                              BATCH_08     14554-14589     batch_08_tables_141-160_mysql.sql
T152     t_screen_rotation_config                           BATCH_08     14589-14612     batch_08_tables_141-160_mysql.sql
T153     t_search_save                                      BATCH_08     14612-14662     batch_08_tables_141-160_mysql.sql
T154     t_search_save_group                                BATCH_08     14662-14685     batch_08_tables_141-160_mysql.sql
T155     t_security_device                                  BATCH_08     14685-14714     batch_08_tables_141-160_mysql.sql
T156     t_security_group                                   BATCH_08     14714-14735     batch_08_tables_141-160_mysql.sql
T157     t_security_incidents                               BATCH_08     14735-14763     batch_08_tables_141-160_mysql.sql
T158     t_security_zone                                    BATCH_08     14763-14784     batch_08_tables_141-160_mysql.sql
T159     t_serv_report                                      BATCH_08     14784-14807     batch_08_tables_141-160_mysql.sql
T160     t_sev_agent_config                                 BATCH_08     14807-14828     batch_08_tables_141-160_mysql.sql
T161     t_sev_agent_events                                 BATCH_09     14828-14850     batch_09_tables_161-180_mysql.sql
T162     t_sev_agent_info                                   BATCH_09     14850-14886     batch_09_tables_161-180_mysql.sql
T163     t_sev_agent_license                                BATCH_09     14886-14913     batch_09_tables_161-180_mysql.sql
T164     t_sev_agent_monitor                                BATCH_09     14913-14940     batch_09_tables_161-180_mysql.sql
T165     t_sev_agent_package                                BATCH_09     14940-14967     batch_09_tables_161-180_mysql.sql
T166     t_sev_agent_rule_closed                            BATCH_09     14967-14988     batch_09_tables_161-180_mysql.sql
T167     t_sev_agent_type                                   BATCH_09     14988-15011     batch_09_tables_161-180_mysql.sql
T168     t_sev_agent_type_rule_closed                       BATCH_09     15011-15034     batch_09_tables_161-180_mysql.sql
T169     t_sev_file_chunk                                   BATCH_09     15034-15060     batch_09_tables_161-180_mysql.sql
T170     t_site                                             BATCH_09     15060-15077     batch_09_tables_161-180_mysql.sql
T171     t_situation_awareness                              BATCH_09     15077-15107     batch_09_tables_161-180_mysql.sql
T172     t_soar_layout                                      BATCH_09     15107-15138     batch_09_tables_161-180_mysql.sql
T173     t_soar_layout_draft                                BATCH_09     15138-15169     batch_09_tables_161-180_mysql.sql
T174     t_soar_layout_history                              BATCH_09     15169-15200     batch_09_tables_161-180_mysql.sql
T175     t_soar_notice_history                              BATCH_09     15200-15223     batch_09_tables_161-180_mysql.sql
T176     t_soar_task                                        BATCH_09     15223-15253     batch_09_tables_161-180_mysql.sql
T177     t_soar_task_action                                 BATCH_09     15253-15279     batch_09_tables_161-180_mysql.sql
T178     t_soc_asset                                        BATCH_09     15279-15319     batch_09_tables_161-180_mysql.sql
T179     t_soc_customer                                     BATCH_09     15319-15354     batch_09_tables_161-180_mysql.sql
T180     t_system_config                                    BATCH_09     15354-15388     batch_09_tables_161-180_mysql.sql
T181     t_table_header                                     BATCH_10     15388-15450     batch_10_tables_181-200_mysql.sql
T182     t_third_auth                                       BATCH_10     15450-15470     batch_10_tables_181-200_mysql.sql
T183     t_threat_intelligence_analysis                     BATCH_10     15470-15497     batch_10_tables_181-200_mysql.sql
T184     t_threat_intelligence_tag                          BATCH_10     15497-15571     batch_10_tables_181-200_mysql.sql
T185     t_topology_business                                BATCH_10     15571-15590     batch_10_tables_181-200_mysql.sql
T186     t_topology_configuration                           BATCH_10     15590-15612     batch_10_tables_181-200_mysql.sql
T187     t_ueba_user                                        BATCH_10     15612-15640     batch_10_tables_181-200_mysql.sql
T188     t_ueba_user_msg                                    BATCH_10     15640-15661     batch_10_tables_181-200_mysql.sql
T189     t_ui_license                                       BATCH_10     15661-15678     batch_10_tables_181-200_mysql.sql
T190     t_user                                             BATCH_10     15678-15727     batch_10_tables_181-200_mysql.sql
T191     t_user_ip                                          BATCH_10     15727-15745     batch_10_tables_181-200_mysql.sql
T192     t_user_portal_screen                               BATCH_10     15745-15763     batch_10_tables_181-200_mysql.sql
T193     t_user_portal_screen_title                         BATCH_10     15763-15782     batch_10_tables_181-200_mysql.sql
T194     t_user_role                                        BATCH_10     15782-15803     batch_10_tables_181-200_mysql.sql
T195     t_user_site                                        BATCH_10     15803-15820     batch_10_tables_181-200_mysql.sql
T196     t_vendor_model                                     BATCH_10     15820-17274     batch_10_tables_181-200_mysql.sql
T197     t_venustech_device                                 BATCH_10     17274-17293     batch_10_tables_181-200_mysql.sql
T198     t_venustech_task                                   BATCH_10     17293-17316     batch_10_tables_181-200_mysql.sql
T199     t_venustech_task_state                             BATCH_10     17316-17330     batch_10_tables_181-200_mysql.sql
T200     t_vulnerability_info                               BATCH_10     17330-17356     batch_10_tables_181-200_mysql.sql
T201     t_waf                                              BATCH_11     17356-17375     batch_11_tables_201-214_mysql.sql
